from,to,cost
1,33,3632.760696466581
1,36,1540.88701264811
1,40,1656.7983956081755
1,41,1179.0828251901678
1,45,884.2462257630616
1,47,3298.575383496649
1,48,508.00272543918953
1,51,1488.1648081238448
1,53,531.3043872934744
1,54,624.8627314729041
1,56,834.860319282629
1,57,1918.558520055056
1,61,1188.1296418614704
1,62,2501.126153673504
1,63,2206.1424295120805
1,65,3084.824543437872
1,66,127.83430360102936
1,68,3583.962528295728
1,69,1293.8964653786593
1,70,2911.046399841264
1,74,586.516113204255
1,80,3128.373381681072
1,82,211.3545723860391
1,84,1383.5883892400325
1,85,1399.2533987738886
1,86,3423.7236738563283
1,87,663.0187141773456
1,90,2018.8733729132337
1,91,815.8094599119274
1,92,948.7423138119758
1,94,181.07419233386128
1,95,1379.094015761095
1,96,575.1836489461491
1,97,493.6193926323338
1,102,435.1372891357592
1,104,577.0911420522502
1,108,3867.096724509295
1,109,1066.5363006058974
1,110,96.80330254538684
1,111,771.2065888505731
1,113,3184.287835641376
1,114,1473.1108806497716
1,115,2332.382485052428
1,116,788.4633791149464
1,117,3681.276334216114
1,118,2262.536937917475
1,119,1997.408113901533
1,120,1603.9317777349515
1,121,2230.007799097239
1,122,754.718306263543
1,123,1331.273531125684
1,128,1097.9187459780185
1,130,1523.262970638595
1,132,2140.90981282194
1,133,387.7740905980074
1,134,2011.077225255246
1,135,663.042440382037
1,136,3246.149977399658
1,137,1509.73271056314
1,139,3254.8456552628104
1,141,435.9196686556831
1,144,729.1761885054028
1,145,320.076802416444
1,147,2398.283618082474
1,149,561.8549504550098
1,150,1253.6924274523449
1,151,1610.6738975678113
1,152,1185.9587886266002
1,153,1846.312100448144
1,154,1664.210634387244
1,156,2529.162120084972
1,159,759.5151466178656
1,160,706.3845622120351
1,161,815.8617315830157
1,162,1015.93880525172
1,163,1448.025048083134
1,165,895.5032243965095
1,167,1436.8244927742244
1,169,906.7385758551218
1,173,101.20857755334784
1,176,2683.45500580629
1,177,4537.704817926567
1,178,1673.2456900690229
1,180,1157.8845908185551
1,182,552.8527478082837
1,183,405.1084164373337
1,184,842.8651905637088
1,186,2246.653565307392
1,191,1982.9236018334675
1,192,1787.303307968249
1,196,1281.1924989121471
1,198,1256.9674304876698
1,201,1561.4738910735016
1,203,2934.168216462229
1,206,2909.1502345027707
1,208,1005.4130510884488
1,212,384.6407120994226
1,219,1949.7465823550108
1,221,2063.450234236957
1,224,3351.5670573140987
1,226,1666.998178967395
1,230,3019.519963202833
1,239,1775.864344769864
1,245,4569.603780665831
1,248,2401.5350757282004
1,262,4515.255605923297
1,263,2468.1870648481563
1,267,815.4982559314184
1,270,2672.4767310782267
1,273,1755.3203246080063
1,277,3660.339137893531
1,278,3526.6622729382857
1,281,3358.6550861875835
1,285,1993.31353813492
1,286,1552.2913767458565
1,287,1557.9655885768411
1,288,3503.693385617521
1,292,1060.4720416470088
1,293,4444.051717218904
1,297,4125.444280681588
1,298,1722.5813188126226
1,299,2831.8609385453688
1,300,1699.0529074340063
1,303,2585.686799660912
1,304,4704.4727123128
1,305,4610.769115375192
1,306,1725.8332304699031
1,307,4861.4016778706045
1,308,4190.835049539576
1,309,1837.827127149383
1,313,2086.3134704319746
1,314,3964.353195737824
1,315,458.9064688755143
1,316,4443.566477059638
2,0,1389.998364193718
2,1,4884.865591936625
2,3,3745.02368084257
2,4,5064.209145688781
2,6,5141.022315535768
2,7,4933.910828308033
2,8,951.479481887448
2,10,3466.3162351340907
2,12,4682.257927891336
2,14,2304.3772660020445
2,15,4447.5766590410585
2,17,4488.191985164649
2,20,2613.8720498897437
2,21,4670.166073153164
2,23,4966.810748212158
2,24,3429.561617017945
2,26,3826.6833171884055
2,28,5689.967106222608
2,29,4757.291615261799
2,30,5306.223261760268
2,31,5268.388394922352
2,32,2562.044252956903
2,33,1254.506494456208
2,36,3345.895218705467
2,40,3229.095706952683
2,41,3777.5872101848486
2,45,5504.386878841792
2,47,1620.3391412083354
2,48,5269.766329218239
2,51,5721.77373956742
2,53,4829.905828781731
2,54,4893.231034540753
2,56,4168.996784423068
2,57,3015.5730360922576
2,61,5204.008920234604
2,62,3134.4259539850973
2,63,3743.5572824628352
2,65,1801.3514260771865
2,66,4856.902166088649
2,68,1306.809910788749
2,69,3703.230402887632
2,70,1999.4134300413
2,74,4496.00537364534
2,80,2016.183125839185
2,82,4804.990374902986
2,84,3680.2729563964335
2,85,5499.942259623994
2,86,1487.7402934246688
2,87,4464.743800470063
2,90,2873.213834293291
2,91,4393.033152413173
